Score	Bval	Edges
-2180.1093	2.54018654411e-005	0->3
-2180.1231	2.51654872978e-005	0->3
-2180.1571	2.49370109202e-005	0->3
-2180.1677	2.47109436016e-005	0->3
-2180.2012	2.44923240909e-005	0->3
-2180.2122	2.42760962167e-005	0->3
-2180.2244	2.40624902961e-005	0->3
-2180.2500	2.38542832862e-005	0->3
-2180.2527	2.3646637677e-005	0->3
-2180.2614	2.34407907489e-005	0->3
-2180.2656	2.3235806565e-005	0->3
-2180.2841	2.30345797258e-005	0->3
-2180.2873	2.28339957834e-005	0->3
-2180.2942	2.26347911062e-005	0->3
-2180.3038	2.24374896438e-005	0->3
-2180.3083	2.22410740434e-005	0->3
-2180.3102	2.20450312783e-005	0->3
-2180.3363	2.18540390333e-005	0->3
-2180.3622	2.16679299773e-005	0->3
-2180.3684	2.14829712277e-005	0->3
-2180.3860	2.13012392731e-005	0->3
-2180.3865	2.11195981617e-005	0->3
-2180.4063	2.09415181729e-005	0->3
-2180.4128	2.07645919502e-005	0->3
-2180.4212	2.05891456832e-005	0->3
-2180.4313	2.0415462505e-005	0->3
-2180.4415	2.02435418908e-005	0->3
-2180.4528	2.00735530445e-005	0->3
-2180.4538	1.99037341022e-005	0->3
-2180.4570	1.97344577118e-005	0->3
-2180.4718	1.9567668164e-005	0->3
-2180.5043	1.94062121374e-005	0->3
-2180.5279	1.92485218623e-005	0->3
-2180.5294	1.90910679454e-005	0->3
-2180.5398	1.89352430635e-005	0->3
-2180.5456	1.878031935e-005	0->3
-2180.5458	1.86254266181e-005	0->3
-2180.5513	1.84713834578e-005	0->3
-2180.5602	1.83187051988e-005	0->3
-2180.5705	1.81675914548e-005	0->3
-2180.5763	1.80173516337e-005	0->3
-2180.6129	1.78725111789e-005	0->3
-2180.6138	1.77278010219e-005	0->3
-2180.6169	1.75835387718e-005	0->3
-2180.6260	1.7440583353e-005	0->3
-2180.6289	1.72980419044e-005	0->3
-2180.6376	1.71567351876e-005	0->3
-2180.6475	1.70168205052e-005	0->3
-2180.6581	1.68783810859e-005	0->3
-2180.6684	1.67413602741e-005	0->3
-2180.6728	1.66049410295e-005	0->3
-2180.6817	1.64697305293e-005	0->3
-2180.6829	1.63346821844e-005	0->3
-2180.6860	1.62000518412e-005	0->3
-2180.6899	1.60659455337e-005	0->3
-2180.7062	1.59340074401e-005	0->3
-2180.7181	1.58036301048e-005	0->3
-2180.7229	1.56738770813e-005	0->3
-2180.7305	1.55451064429e-005	0->3
-2180.7415	1.54177445194e-005	0->3
-2180.7620	1.52929669354e-005	0->3
-2180.7742	1.51697023896e-005	0->3
-2180.7809	1.50472609557e-005	0->3
-2180.7952	1.49265579748e-005	0->3
-2180.8010	1.48065530448e-005	0->3
-2180.8146	1.4688169134e-005	0->3
-2180.8221	1.45706697813e-005	0->3
-2180.8222	1.44531821779e-005	0->3
-2180.8279	1.43363623489e-005	0->3
-2180.8369	1.42205891814e-005	0->3
-2180.8438	1.4105612099e-005	0->3
-2180.8492	1.39912542195e-005	0->3
-2180.8541	1.3877455323e-005	0->3
-2180.8776	1.37662995226e-005	0->3
-2180.8804	1.3655454523e-005	0->3
-2180.8932	1.35460192977e-005	0->3
-2180.8987	1.34371843139e-005	0->3
-2180.8991	1.33283928554e-005	0->3
-2180.9026	1.32199815015e-005	0->3
-2180.9097	1.31123371421e-005	0->3
-2180.9099	1.30047143094e-005	0->3
-2180.9144	1.28975746915e-005	0->3
-2180.9190	1.27909267839e-005	0->3
-2180.9375	1.26862337246e-005	0->3
-2180.9415	1.2581958601e-005	0->3
-2180.9450	1.24780478025e-005	0->3
-2180.9578	1.2375458586e-005	0->3
-2180.9626	1.22733606178e-005	0->3
-2180.9665	1.21716600563e-005	0->3
-2180.9697	1.20702844164e-005	0->3
-2180.9811	1.19700578963e-005	0->3
-2180.9827	1.18699916105e-005	0->3
-2180.9920	1.17708516271e-005	0->3
-2181.0136	1.16738301056e-005	0->3
-2181.0137	1.15768182858e-005	0->3
-2181.0593	1.14841308595e-005	0->3
-2181.0642	1.13918964907e-005	0->3
-2181.0662	1.12998464063e-005	0->3
-2181.0842	1.12094384003e-005	0->3
-2181.0885	1.11194183142e-005	0->3
-2181.0912	1.10296409545e-005	0->3
-2181.1292	1.09432111285e-005	0->3
-2181.1307	1.085691085e-005	0->3
-2181.1615	1.07732281032e-005	0->3
-2181.1684	1.06901207799e-005	0->3
-2181.1865	1.06085041674e-005	0->3
-2181.1935	1.05274568764e-005	0->3
-2181.1987	1.04468299373e-005	0->3
-2181.1989	1.03662191221e-005	0->3
-2181.2051	1.02861065477e-005	0->3
-2181.2142	1.02067196908e-005	0->3
-2181.2171	1.01275627223e-005	0->3
-2181.2181	1.00484848711e-005	0->3
-2181.2189	9.96947025695e-006	0->3
-2181.2217	9.89067657425e-006	0->3
-2181.2231	9.81199312554e-006	0->3
-2181.2429	9.73485228687e-006	0->3
-2181.2436	9.65776542789e-006	0->3
-2181.2557	9.58160569945e-006	0->3
-2181.2577	9.50559813825e-006	0->3
-2181.2663	9.43024143936e-006	0->3
-2181.2687	9.3550653797e-006	0->3
-2181.2747	9.28033902592e-006	0->3
-2181.2811	9.20608939367e-006	0->3
-2181.2969	9.1330036864e-006	0->3
-2181.3107	9.06091963456e-006	0->3
-2181.3186	8.98940280326e-006	0->3
-2181.3359	8.91911257246e-006	0->3
-2181.3393	8.84906092262e-006	0->3
-2181.3401	8.77906529169e-006	0->3
-2181.3428	8.70925839407e-006	0->3
-2181.3600	8.64064190819e-006	0->3
-2181.3827	8.57356547086e-006	0->3
-2181.4024	8.50779750855e-006	0->3
-2181.4088	8.44244911714e-006	0->3
-2181.4139	8.37743315411e-006	0->3
-2181.4330	8.31364721189e-006	0->3
-2181.4357	8.25003325941e-006	0->3
-2181.4381	8.18657179737e-006	0->3
-2181.4407	8.12327512081e-006	0->3
-2181.4450	8.06025003562e-006	0->3
-2181.4505	7.99757063688e-006	0->3
-2181.4566	7.9352724187e-006	0->3
-2181.4567	7.87298043003e-006	0->3
-2181.4687	7.81143147809e-006	0->3
-2181.4754	7.75029352573e-006	0->3
-2181.4755	7.68916168687e-006	0->3
-2181.4819	7.62841984246e-006	0->3
-2181.4938	7.56839654219e-006	0->3
-2181.4945	7.50841524352e-006	0->3
-2181.4948	7.44845193654e-006	0->3
-2181.4997	7.38878173108e-006	0->3
-2181.5036	7.32934378622e-006	0->3
-2181.5048	7.26997712412e-006	0->3
-2181.5202	7.21151770491e-006	0->3
-2181.5323	7.15376138236e-006	0->3
-2181.5400	7.0964480757e-006	0->3
-2181.5409	7.0391863278e-006	0->3
-2181.5451	6.98216457491e-006	0->3
-2181.5484	6.92533068365e-006	0->3
-2181.5514	6.86866703858e-006	0->3
-2181.5702	6.81305871889e-006	0->3
-2181.5990	6.75902907673e-006	0->3
-2181.6054	6.70534412012e-006	0->3
-2181.6160	6.65222521865e-006	0->3
-2181.6244	6.59955064715e-006	0->3
